Binary,Nodes,Final Accuracy,Total Duration,Mean Iteration Time
mnist-1x,1,0.862000,32.590681,0.325907
mnist-1x,2,0.823600,27.746544,0.277465
mnist-1x,3,0.793000,26.774702,0.267747
mnist-2x,1,0.876500,91.377978,0.913780
mnist-2x,2,0.855300,82.643207,0.826432
mnist-2x,3,0.833700,77.579635,0.775796
mnist-4x,1,0.802500,302.950730,3.029507
mnist-4x,2,0.828400,262.301743,2.623017
mnist-4x,3,0.853700,257.577289,2.575773
