Number of devices: 2
Sending 30000 images to device 0
Sending 30000 images to device 1
Step	Iteration Time (s)	Average Loss
0000	0.695981		2.20	
0001	0.264929		1.82	
0002	0.271314		1.64	
0003	0.261576		1.36	
0004	0.245259		1.38	
0005	0.276366		1.27	
0006	0.283656		1.20	
0007	0.236954		1.12	
0008	0.243930		1.05	
0009	0.263521		0.98	
0010	0.266656		0.94	
0011	0.304364		0.89	
0012	0.267604		0.85	
0013	0.304488		0.81	
0014	0.301503		0.78	
0015	0.309021		0.75	
0016	0.281139		0.67	
0017	0.254448		0.69	
0018	0.239525		0.67	
0019	0.287997		0.65	
0020	0.275476		0.63	
0021	0.288976		0.62	
0022	0.326134		0.60	
0023	0.299187		0.58	
0024	0.237959		0.57	
0025	0.303661		0.56	
0026	0.290859		0.55	
0027	0.312662		0.53	
0028	0.283512		0.52	
0029	0.278101		0.51	
0030	0.256814		0.50	
0031	0.266428		0.49	
0032	0.298677		0.48	
0033	0.271595		0.48	
0034	0.322981		0.45	
0035	0.287071		0.46	
0036	0.317977		0.46	
0037	0.251586		0.45	
0038	0.255675		0.44	
0039	0.303751		0.43	
0040	0.251509		0.43	
0041	0.252827		0.43	
0042	0.246338		0.42	
0043	0.366037		0.42	
0044	0.325378		0.41	
0045	0.251075		0.41	
0046	0.307298		0.40	
0047	0.327342		0.40	
0048	0.284409		0.39	
0049	0.264045		0.39	
0050	0.308890		0.39	
0051	0.252058		0.38	
0052	0.252072		0.38	
0053	0.281655		0.34	
0054	0.299266		0.37	
0055	0.251175		0.37	
0056	0.249081		0.37	
0057	0.276383		0.36	
0058	0.263239		0.36	
0059	0.242868		0.36	
0060	0.255914		0.36	
0061	0.284338		0.35	
0062	0.298663		0.35	
0063	0.252881		0.35	
0064	0.328572		0.35	
0065	0.300218		0.35	
0066	0.302486		0.34	
0067	0.261164		0.34	
0068	0.310580		0.32	
0069	0.263484		0.34	
0070	0.234182		0.33	
0071	0.292229		0.33	
0072	0.330524		0.33	
0073	0.248624		0.33	
0074	0.251747		0.33	
0075	0.330163		0.33	
0076	0.269933		0.27	
0077	0.299886		0.28	
0078	0.255824		0.32	
0079	0.267493		0.32	
0080	0.293850		0.32	
0081	0.250882		0.32	
0082	0.246204		0.31	
0083	0.268760		0.31	
0084	0.325340		0.31	
0085	0.258463		0.31	
0086	0.232470		0.31	
0087	0.269773		0.29	
0088	0.235279		0.29	
0089	0.272471		0.30	
0090	0.252648		0.30	
0091	0.277956		0.30	
0092	0.266751		0.30	
